,,,,,,,,
,N,N/32,p,GPU,,CPU,,Speedup
,,,,Inherently serial,Parallelizable,Inherently serial,Parallelizable,
,99,3.09375,4,0.079212,0.011693,0.002627,0.003837,0.078699462168
,199,6.21875,7,0.003187,0.012742,0.002605,0.007608,2.039627970671
,299,9.34375,10,0.004978,0.015187,0.003931,0.017207,3.253651854018
,399,12.46875,13,0.006990,0.017522,0.005062,0.029749,4.175059044948
,499,15.59375,16,0.007242,0.020007,0.006279,0.046829,6.253563832527
,599,18.71875,19,0.008605,0.022473,0.007276,0.067364,7.625828099458
,699,21.84375,22,0.010172,0.024927,0.008347,0.090105,8.708677943477
,799,24.96875,25,0.011538,0.026841,0.010347,0.117699,10.153001512888
,899,28.09375,29,0.012988,0.029131,0.012610,0.148627,11.523087463004
,999,31.21875,32,0.014380,0.031443,0.012981,0.183459,12.786903253235
,1099,34.34375,35,0.013992,0.034562,0.015445,0.221840,15.840663993805
,1199,37.46875,38,0.015337,0.036299,0.015993,0.267556,17.403933096971
,1299,40.59375,41,0.016395,0.038928,0.017854,0.312212,19.030049653857
,1399,43.71875,44,0.017670,0.040712,0.018740,0.362586,20.506609695524
,1499,46.84375,47,0.018959,0.043545,0.019587,0.416223,21.915980646639
,1599,49.96875,50,0.020127,0.045616,0.021230,0.471696,23.428799029626
,1699,53.09375,54,0.021390,0.04996,0.022434,0.533727,24.922983850890
,1799,56.21875,57,0.022670,0.050872,0.023584,0.598159,26.386980645719
,1899,59.34375,60,0.023867,0.053198,0.025400,0.664446,27.868474526972
,1999,62.46875,63,0.025263,0.054241,0.025973,0.740839,29.352814723449
,2099,65.59375,66,0.026448,0.05721,0.027362,0.824792,31.197498527273
,2199,68.71875,69,0.027739,0.059539,0.028261,0.915208,32.986253565945
,2299,71.84375,72,0.029010,0.062171,0.029828,0.979573,33.789193408685
,2399,74.96875,75,0.030169,0.064364,0.030845,1.063663,35.275773203629
,2499,78.09375,79,0.031452,0.067022,0.032214,1.158237,36.855634804623
,2599,81.21875,82,0.032733,0.068831,0.034454,1.255850,38.433472324285
,2699,84.34375,85,0.034517,0.072096,0.035533,1.352384,39.245288071587
,2799,87.46875,88,0.039888,0.073809,0.038419,1.480387,37.292600656314
,2899,90.59375,91,0.041110,0.075524,0.038800,1.590397,38.845959973107
,2999,93.71875,94,0.038771,0.0786,0.039666,1.702853,43.995039045692
,3099,96.84375,97,0.039039,0.080839,0.040900,1.824424,46.782345327439
,3199,99.96875,100,0.040287,0.084182,0.042320,1.931683,47.995614753839
,3299,103.09375,104,0.041523,0.086241,0.043586,2.050098,49.435023530905
,3399,106.21875,107,0.043853,0.089129,0.044766,2.310197,52.700263730288
,3499,109.34375,110,0.045218,0.090649,0.045944,2.299233,50.935511762066
,3599,112.46875,113,0.046778,0.094045,0.046996,2.439446,52.224923275438
,3699,115.59375,116,0.047553,0.096715,0.048432,2.584237,54.408882596992
,3799,118.71875,119,0.048872,0.098638,0.049381,2.719583,55.712562850775
,3899,121.84375,122,0.049213,0.102374,0.050605,2.864655,58.244472975717
,3999,124.96875,125,0.050383,0.103824,0.052142,3.019877,59.984447097560
,4099,128.09375,129,0.052243,0.10693,0.053368,3.164937,60.640453928464
,4199,131.21875,132,0.052881,0.110246,0.054255,3.312926,62.684649881293
,4299,134.34375,135,0.054183,0.113276,0.055784,3.485690,64.364595170612
,4399,137.46875,138,0.055346,0.116559,0.057299,3.644277,65.875324255282
,4499,140.59375,141,0.057310,0.12066,0.057764,3.810730,66.508114376013
,4599,143.71875,144,0.058116,0.122422,0.059160,3.980494,68.508013660379
,4699,146.84375,147,0.059115,0.123923,0.060516,4.157486,70.349261864425
,4799,149.96875,150,0.060615,0.127937,0.061877,4.331007,71.466294555631
,4899,153.09375,154,0.062163,0.134677,0.063316,4.515989,72.644110460281
,4999,156.21875,157,0.063897,0.139069,0.064417,4.697639,73.508041472838
,5099,159.34375,160,0.064326,0.149419,0.065533,4.921525,76.418449738301
,5199,162.46875,163,0.066178,0.15489,0.067137,5.083004,76.720923799002
,5299,165.59375,166,0.068562,0.162441,0.067998,5.279137,76.892319841424
,5399,168.71875,169,0.069012,0.165649,0.069313,5.482364,79.318541963738
,5499,171.84375,172,0.069790,0.169249,0.071075,5.684350,81.321170588104
,5599,174.96875,175,0.071591,0.174708,0.071628,5.889734,82.124492438204
,5699,178.09375,179,0.072786,0.179861,0.072931,6.115680,83.866961147529
,5799,181.21875,182,0.074282,0.183063,0.074357,6.338940,85.183702226481
,5899,184.34375,185,0.075254,0.190242,0.075380,6.552571,86.887101558421
,5999,187.46875,188,0.076271,0.188917,0.076411,6.777701,88.696656804011
,6099,190.59375,191,0.077221,0.201571,0.077571,6.999167,90.407107668348
,6199,193.71875,194,0.078187,0.198299,0.079230,7.234673,92.336581009551
,6299,196.84375,197,0.079492,0.20898,0.080225,7.476883,93.815570123809
,6399,199.96875,200,0.081152,0.205194,0.081546,7.727630,95.027608980850
,6499,203.09375,204,0.082521,0.211222,0.082788,7.970183,96.377665995952
,6599,206.21875,207,0.083304,0.21636,0.083604,8.214573,98.378826225547
,6699,209.34375,210,0.084373,0.219586,0.085131,8.459143,100.028205060164
,6799,212.46875,213,0.085681,0.227094,0.086177,8.705844,101.352252758502
,6899,215.59375,216,0.086988,0.232767,0.087420,8.966305,102.806571803698
,6999,218.71875,219,0.088265,0.23744,0.088992,9.235950,104.365141542279
,7099,221.84375,222,0.089243,0.247742,0.089781,9.513539,106.279670950017
,7199,224.96875,225,0.090792,0.249864,0.091318,9.783049,107.443935515433
,7299,228.09375,229,0.091862,0.249223,0.092688,10.055466,109.178269499396
,7399,231.21875,232,0.093377,0.253738,0.093562,10.339463,110.436624163979
,7499,234.34375,235,0.095052,0.259697,0.092522,11.006793,115.428977545919
,7599,237.46875,238,0.096987,0.264721,0.095077,10.901264,112.094011010198
,7699,240.59375,241,0.097114,0.278384,0.097859,11.209905,115.069352018240
,7799,243.71875,244,0.098105,0.279786,0.098467,11.485328,116.711343072830
,7899,246.84375,247,0.099407,0.290977,0.099893,11.789405,118.201448883709
,7999,249.96875,250,0.100914,0.29811,0.098956,12.078430,119.261684179764
,8099,253.09375,254,0.102193,0.311346,0.099628,12.386171,120.730490223070
,8199,256.21875,257,0.103726,0.304252,0.102123,12.705067,122.078039275815
,8299,259.34375,260,0.104659,0.317865,0.102536,13.006189,123.805554864370
,8399,262.46875,263,0.105858,0.318997,0.103716,13.318593,125.359056012448
